Cost,Europe,Japan,North America,Publisher,Size,Title
$19.99US,"2009-08-06August 6, 2009",,"2009-08-06August 6, 2009",Electronic Arts,5.38 GB,Need for Speed: Carbon
$29.99US,"2011-07-26July 26, 2011","2012-01-31January 31, 2012","2011-07-26July 26, 2011",Electronic Arts,4.32 GB,Need for Speed: Hot Pursuit
$19.99US,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2009-08-11August 11, 2009",Electronic Arts,6.67 GB,Need for Speed: Most Wanted (NFS Most Wanted)
$19.99US,"2009-08-25August 25, 2009","2010-02-02February 2, 2010","2009-08-25August 25, 2009",Electronic Arts,5.14 GB,Need for Speed: ProStreet
$19.99US,"2011-01-11January 11, 2011",,"2011-01-11January 11, 2011",Electronic Arts,3.74 GB,Need for Speed: Shift
$19.99US,,,"2010-06-08June 8, 2010",Electronic Arts,5.04 GB,Need for Speed: Undercover (NFS Undercover)
$19.99US,"2010-07-20July 20, 2010",,"2010-07-20July 20, 2010",EA Sports BIG,3 GB,NFL Tour
?14.99UK,"2011-05-03May 3, 2011",,,Black Bean Games,6.76 GB,NGQ! Wild Life
$19.99US,"2010-10-05October 5, 2010",,"2010-10-05October 5, 2010",2K Sports,5 GB,NHL 2K9
$29.99US,,,"2011-11-08November 8, 2011",Konami,3.79 GB,Ninety-Nine Nights II
"?2,600JP",,"2011-05-24May 24, 2011",,From Software,3.98 GB,Ninja Blade
"?3,990JP",,"2011-02-08February 8, 2011",,Alchemist,1.7 GB,No Fate! Only the Power of Will
"?2,600JP",,"2010-11-08November 8, 2010",,D3 Publisher,3.71 GB,Onechanbara: Bikini Samurai Squad
$19.99US,"2011-03-01March 1, 2011",,"2011-03-01March 1, 2011",Ubisoft,3.9 GB,Open Season
$19.99US,,"2010-03-23March 23, 2010","2010-08-17August 17, 2010",Atlus (NA) Success (JP),4.30 GB,Operation Darkness
$19.99US,"2011-05-10May 10, 2011","2011-05-10May 10, 2011","2011-05-10May 10, 2011",Codemasters,6.28 GB,Operation Flashpoint: Dragon Rising
"?2,600JP",,"2010-10-05October 5, 2010",,Konami,3.33 GB,Otomedius G
$19.99US,,,"2010-08-17August 17, 2010",THQ,6 GB,"Outfit, TheThe Outfit"
$24.99US,"2011-05-31May 31, 2011",,"2011-05-31May 31, 2011",Codemasters,3.21 GB,Overlord II
$19.99US,"2010-03-02March 2, 2010","2009-08-11August 11, 2009","2009-08-11August 11, 2009",Microsoft Game Studios,5 GB,Perfect Dark Zero
$29.99US,"2011-06-14June 14, 2011","2011-06-14June 14, 2011","2011-06-14June 14, 2011",Konami,5.89 GB,PES 2011
$19.99US,"2010-08-03August 3, 2010","2010-08-17August 17, 2010","2010-08-03August 3, 2010",Sega,6 GB,Phantasy Star Universe
$19.99US,"2009-08-11August 11, 2009",,"2009-08-11August 11, 2009",2K Games,4 GB,Prey
$19.99US,"2010-05-04May 4, 2010",,"2010-05-04May 4, 2010",Ubisoft,5.24 GB,Prince of Persia
$19.99US,"2010-12-21December 21, 2010",,"2010-12-21December 21, 2010",Ubisoft,4.59 GB,Prince of Persia: The Forgotten Sands
$19.99US,"2011-07-26July 26, 2011",,"2011-07-26July 26, 2011",Deep Silver,2.64 GB,Prison Break
"?1,900JP",,"2010-07-13July 13, 2010",,Square Enix,5.03 GB,Project Sylpheed
$29.99US,"2010-12-07December 7, 2010",,"2010-12-07December 7, 2010",Activision,6.75 GB,Prototype
$19.99US,"2010-02-23February 23, 2010",,"2010-02-23February 23, 2010",Disney Interactive Studios,4 GB,Pure
$19.99US,"2011-08-02August 2, 2011","2011-08-02August 2, 2011","2011-08-02August 2, 2011",Ubisoft,2.22 GB,Pure Futbol
$29.99US,"2011-10-11October 11, 2011",,"2011-10-11October 11, 2011",Activision,6.72 GB,Quantum of Solace
$39.99US,,"2010-01-13January 13, 2010","2011-04-05April 5, 2011",Moss,377.96 MB,Raiden IV
$19.99US,,"2009-11-17November 17, 2009","2010-05-11May 11, 2010",Valcon Games (NA) Success (JP),484.34 MB,Raiden Fighters Aces
$19.99US,,,"2011-03-15March 15, 2011",Activision,2.92 GB,Rapala Fishing Frenzy
$19.99US,,,"2011-02-15February 15, 2011",Activision,3.72 GB,Rapala Tournament Fishing
$19.99US,"2011-04-12April 12, 2011",,"2011-04-12April 12, 2011",Evolved Games,1.89 GB,Raven Squad
$19.99US,"2010-11-09November 9, 2010",,"2010-11-09November 9, 2010",Ubisoft,4.5 GB,Rayman Raving Rabbids
$29.99US,,"2010-03-30March 30, 2010","2011-08-09August 9, 2011",Aksys Games (NA) Compile Heart (JP),6.64 GB,Record of Agarest War
"?3,600JP",,"2011-07-05July 5, 2011","2012-01-03January 3, 2012",Idea Factory,6.38 GB,Record of Agarest War Zero
$39.99US,"2010-12-21December 21, 2010",,"2010-12-21December 21, 2010",Rockstar Games,6.73 GB,Red Dead Redemption
$19.99US,"2010-06-08June 8, 2010",,"2010-06-08June 8, 2010",THQ,6 GB,Red Faction: Guerrilla
$39.99US,"2011-12-13December 13, 2011",,"2011-12-13December 13, 2011",THQ,5.91 GB,Red Faction: Armageddon
$19.99US,"2011-09-27September 27, 2011",,"2011-09-27September 27, 2011",Capcom,1.83 GB,Resident Evil Code: Veronica X
$19.99US,"2011-09-20September 20, 2011",,"2011-09-20September 20, 2011",Capcom,3.59 GB,Resident Evil 4
$29.99US,"2010-02-23February 23, 2010","2010-11-02November 2, 2010","2010-02-16February 16, 2010",Capcom,6.75 GB,Resident Evil 5
$24.99US,"2011-12-27December 27, 2011",,"2011-12-27December 27, 2011",Sega,6.69 GB,Resonance of Fate
$19.99US,,"2009-10-21October 21, 2009","2009-08-11August 11, 2009",Namco,6 GB,Ridge Racer 6
$59.99US,"2011-10-25October 25, 2011",,"2011-10-25October 25, 2011",THQ,1.84 GB,Rio
$19.99US,"2011-07-05July 5, 2011",,"2011-07-05July 5, 2011",Deep Silver,2.52 GB,Risen
$19.99US,"2011-12-20December 20, 2011",,"2011-12-20December 20, 2011",Mad Catz,5.51 GB,Rock Band 3
$19.99US,"2010-05-03May 3, 2010","2009-08-18August 18, 2009","2009-08-11August 11, 2009",Rockstar Games,3 GB,Rockstar Games presents Table Tennis
$29.99US,"2011-07-19July 19, 2011","2011-07-19July 19, 2011","2011-07-19July 19, 2011",Ubisoft,4.05 GB,R.U.S.E.
$29.99US,"2011-07-05July 5, 2011",,"2010-09-14September 14, 2010",Deep Silver,6.34 GB,Sacred 2: Fallen Angel
,"2009-08-18August 18, 2009",,,THQ,7 GB,Saints Row
$19.99US,"2009-11-24November 24, 2009",,"2009-11-24November 24, 2009",THQ,6.76 GB,Saints Row 2
$19.99US,"2012-01-10January 10, 2012","2011-09-20September 20, 2011","2011-09-20September 20, 2011",SNK Playmore,5.54 GB,Samurai Shodown: Sen
$19.99US,,,"2011-09-06September 6, 2011",Konami,1.93 GB,Saw
$39.99US,,,"2011-10-25October 25, 2011",Konami,2.14 GB,Saw II: Flesh & Blood
?17.99UK,"2011-11-15November 15, 2011",,,Leader S.P.A.,1.63 GB,SBK X
$29.99US,"2012-01-31January 31, 2012",,"2012-01-31January 31, 2012",SouthPeak Interactive,2.22 GB,Section 8
$19.99US,"2009-08-11August 11, 2009",,"2010-06-22June 22, 2010",Sega,4 GB,Sega Rally Revo
$19.99US,,,"2010-03-23March 23, 2010",Sega,3 GB,Sega Superstars Tennis
"?2,940JP",,"2011-04-26April 26, 2011",,G.rev,2.3 GB,Senko no Ronde: DUO
$29.99US,"2010-09-10September 10, 2010","2010-09-07September 7, 2010","2010-09-10September 10, 2010",Microsoft Game Studios,3.10 GB,Shadowrun
$19.99US,"2011-07-26July 26, 2011",,"2011-07-26July 26, 2011",Ubisoft,6.22 GB,Shaun White Skateboarding
$19.99US,"2009-09-22September 22, 2009","2009-09-22September 22, 2009","2009-09-22September 22, 2009",Ubisoft,4.35 GB,Shaun White Snowboarding
$19.99US,,,"2011-09-06September 6, 2011",Focus Home Interactive,5.39 GB,Sherlock Holmes
$29.99US,"2011-10-04October 4, 2011",,"2011-10-04October 4, 2011",Electronic Arts,5.59 GB,Shift 2: Unleashed
"?2,940JP",,"2010-02-09February 9, 2010",,Triangle Service,2.96 GB,"Shooting Love, 200X"
$29.99US,"2010-04-27April 27, 2010",,"2010-04-27April 27, 2010",Activision,6.01 GB,Shrek the Third
$19.99US,,,"2011-12-06December 6, 2011",Konami,4.77 GB,Silent Hill Homecoming
$19.99US,"2010-01-19January 19, 2010",,"2010-01-19January 19, 2010",Electronic Arts,5.00 GB,skate.
$19.99US,"2010-05-04May 4, 2010","2010-11-23November 23, 2010","2010-05-04May 4, 2010",Electronic Arts,6.64 GB,Skate 2
$19.99US,,,"2010-07-06July 6, 2010",Valcon Games,3 GB,Ski-Doo: Snowmobile Challenge
$29.99US,"2011-08-30August 30, 2011",,"2011-08-30August 30, 2011",City Interactive,2.86 GB,Sniper: Ghost Warrior
$19.99US,"2011-04-12April 12, 2011",,"2011-04-12April 12, 2011",Sega,3.82 GB,Sonic & Sega All-Stars Racing
$24.99US,"2011-05-24May 24, 2011",,"2011-05-24May 24, 2011",Sega,1.71 GB,Sonic Free Riders
$19.99US,"2010-04-06April 6, 2010","2010-02-23February 23, 2010","2009-10-20October 20, 2009",Sega,5.74 GB,Sonic Unleashed
$19.99US,"2010-06-01June 1, 2010","2010-06-01June 1, 2010","2010-06-01June 1, 2010",Namco Bandai Games,4.28 GB,Soulcalibur IV
$29.99US,"2011-11-29November 29, 2011",,"2011-03-29March 29, 2011",Disney Interactive Studios,6.61 GB,Split/Second
$29.99US,"2010-05-18May 18, 2010",,"2010-05-18May 18, 2010",LucasArts,6.36 GB,Star Wars: The Force Unleashed
$19.99US,,,"2011-09-20September 20, 2011",LucasArts,5.62 GB,Star Wars: The Force Unleashed II
$19.99US,"2010-02-09February 9, 2010",,"2010-02-09February 9, 2010",Capcom,4.61 GB,Street Fighter IV
$19.99US,"2010-07-20July 20, 2010",,"2010-07-20July 20, 2010",THQ,6 GB,Stuntman: Ignition
$29.99US,"2012-01-03January 3, 2012",,"2012-01-03January 3, 2012",Capcom,6.54 GB,Super Street Fighter IV
$19.99US,,,"2010-03-02March 2, 2010",THQ,3.61 GB,Supreme Commander
$29.99US,"2011-03-22March 22, 2011",,"2011-03-22March 22, 2011",Square Enix,2.02 GB,Supreme Commander 2
$19.99US,"2011-03-08March 8, 2011",,"2011-03-08March 8, 2011",Ubisoft,4.89 GB,Surf's Up
$29.99US,"2011-04-05April 5, 2011",,"2011-04-05April 5, 2011",Namco Bandai Games,5.40 GB,Tales of Vesperia
$19.99US,"2011-04-26April 26, 2011",,"2011-04-26April 26, 2011",Namco Bandai Games,6.63 GB,Tekken 6
"?2,600JP",,"2009-09-22September 22, 2009",,From Software,3.19 GB,Tenchu Z
"?3,990JP",,"2009-10-27October 27, 2009",,Hudson Soft,5.93 GB,Tengai Makyou Ziria: Haruka naru Jipang
$19.99US,"2010-12-14December 14, 2010",,"2010-12-14December 14, 2010",Evolved Games,6.2 GB,Terminator Salvation
$19.99US,"2009-12-15December 15, 2009","2009-12-15December 15, 2009","2009-12-15December 15, 2009",Atari,3 GB,Test Drive Unlimited
$19.99US,"2011-10-11October 11, 2011",,"2011-10-11October 11, 2011",Atari,6.55 GB,Test Drive Unlimited 2
$29.99US,"2010-11-23November 23, 2010",,"2010-11-23November 23, 2010",Sierra Entertainment,4.4 GB,TimeShift
"?3,990JP",,"2011-01-25January 25, 2011",,Prototype,2.56 GB,Time Leap
$19.99US,"2010-05-11May 11, 2010",,"2010-05-11May 11, 2010",Ubisoft,4.85 GB,Tom Clancy's EndWar
$19.99US,"2009-09-01September 1, 2009","2009-09-01September 1, 2009","2009-09-01September 1, 2009",Ubisoft,4.78 GB,Tom Clancy's Ghost Recon Advanced Warfighter (GRAW)
$19.99US,"2010-01-12January 12, 2010",,"2010-01-12January 12, 2010",Ubisoft,6.77 GB,Tom Clancy's Ghost Recon Advanced Warfighter 2 (GRAW 2)
$29.99US,"2010-08-10August 10, 2010",,"2010-08-10August 10, 2010",Ubisoft,5.93 GB,Tom Clancy's H.A.W.X
$19.99US,"2011-03-29March 29, 2011",,"2011-03-29March 29, 2011",Ubisoft,5.99 GB,Tom Clancy's H.A.W.X 2
$19.99US,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2009-08-11August 11, 2009",Ubisoft,6.60 GB,Tom Clancy's Rainbow Six: Vegas
$19.99US,"2009-10-06October 6, 2009","2009-10-06October 6, 2009","2009-10-08October 8, 2009",Ubisoft,6.43 GB,Tom Clancy's Rainbow Six: Vegas 2
$19.99US,"2010-11-09November 9, 2010",,"2010-10-26October 26, 2010",Ubisoft,5.92 GB,Tom Clancy's Splinter Cell: Conviction
?14.99UK,"2009-09-01September 1, 2009",,,Ubisoft,6.7 GB,Tom Clancy's Splinter Cell: Double Agent
$19.99US,"2010-09-21September 21, 2010",,"2010-09-21September 21, 2010",Eidos Interactive,3.01 GB,Tomb Raider: Anniversary
$29.99US,"2010-08-11August 11, 2010",,"2010-04-13April 13, 2010",Eidos Interactive,6.55 GB,Tomb Raider: Legend
$19.99US,"2010-06-29June 29, 2010",,"2010-06-29June 29, 2010",Eidos Interactive,6.62 GB,Tomb Raider: Underworld
"?3,600JP",,"2011-10-11October 11, 2011",,Prototype,2.32 GB,Tomoyo After: It's a Wonderful Life
$19.99US,"2010-08-03August 3, 2010","2010-05-18May 18, 2010","2010-08-03August 3, 2010",Microsoft Game Studios,6 GB,Too Human
$19.99US,"2010-05-18May 18, 2010",,"2010-05-18May 18, 2010",2K Sports,4 GB,Top Spin 3
$39.99US,"2011-10-18October 18, 2011",,"2011-10-18October 18, 2011",2K Sports,5.38 GB,Top Spin 4
$19.99US,,,"2011-12-06December 6, 2011",Konami,4.06 GB,Tornado Outbreak
?19.99UK,"2012-01-10January 10, 2012",,,Focus Home Interactive,4.1 GB,Tour de France
$29.99US,"2011-12-13December 13, 2011",,"2011-04-12April 12, 2011",Disney Interactive Studios,4.83 GB,Toy Story 3: The Video Game
$59.99US,"2011-12-27December 27, 2011",,"2011-12-27December 27, 2011",Activision,5.82 GB,Transformers: Dark of the Moon
$29.99US,"2011-01-18January 18, 2011",,"2011-01-18January 18, 2011",Activision,6.55 GB,Transformers: Revenge of the Fallen
$29.99US,"2011-01-18January 18, 2011",,"2011-01-18January 18, 2011",Activision,4.55 GB,Transformers: The Game
$39.99US,"2010-12-28December 28, 2010",,"2010-12-28December 28, 2010",Activision,6.57 GB,Transformers: War for Cybertron
$19.99US,,,"2009-12-08December 8, 2009",Electronic Arts,1.5 GB,Trivial Pursuit
$39.99US,"2011-06-21June 21, 2011",,"2011-06-21June 21, 2011",Disney Interactive Studios,5.86 GB,Tron: Evolution
$19.99US,"2011-06-21June 21, 2011","2011-11-08November 8, 2011","2011-06-21June 21, 2011",Kalypso Media,2.3 GB,Tropico 3
$19.99US,,,"2011-07-05July 5, 2011",SouthPeak Interactive,2.86 GB,Two Worlds
$59.99US,"2011-12-20December 20, 2011",,"2011-12-20December 20, 2011",THQ,6.12 GB,UFC Personal Trainer
$29.99US,"2010-03-30March 30, 2010",,"2010-03-30March 30, 2010",THQ,6.64 GB,UFC 2009 Undisputed
,"2010-11-30November 30, 2010",,,THQ,6.1 GB,UFC Undisputed 2010
$19.99US,"2011-05-10May 10, 2011",,"2011-05-10May 10, 2011",Sega,6.54 GB,Vanquish
$19.99US,,,"2011-05-10May 10, 2011",SouthPeak Games,4.67 GB,Velvet Assassin
$19.99US,"2012-01-10January 10, 2012",,"2012-01-10January 10, 2012",Evolved Games,4.71 GB,Venetica
$19.99US,"2010-10-26October 26, 2010","2009-09-15September 15, 2009","2010-10-26October 26, 2010",Sega,3.4 GB,Virtua Fighter 5
$19.99US,"2010-10-08October 8, 2010",,"2010-10-08October 8, 2010",Sega,4 GB,Virtua Tennis 2009
$19.99US,"2010-03-02March 2, 2010","2009-08-06August 6, 2009","2009-08-06August 6, 2009",Microsoft Game Studios,4.89 GB,Viva Pi?ata
$19.99US,"2010-03-02March 2, 2010","2010-02-16February 16, 2010","2009-12-15December 15, 2009",Microsoft Game Studios,4.27 GB,Viva Pi?ata: Party Animals
$19.99US,"2009-08-11August 11, 2009","2010-07-27July 27, 2010","2009-08-11August 11, 2009",Microsoft Game Studios,4.94 GB,Viva Pi?ata: Trouble in Paradise
"?2,940JP",,"2011-10-25October 25, 2011",,Koei,4.48 GB,Warriors Orochi
"?3,600JP",,"2011-11-29November 29, 2011",,Koei,5.67 GB,Warriors Orochi 2
"?2,600JP",,"2009-09-08September 8, 2009",,G.rev,1.14 GB,WarTech: Senko no Ronde
$19.99US,"2011-09-06September 6, 2011","2010-05-04May 4, 2010","2011-09-06September 6, 2011",Spike,2.79 GB,Way of the Samurai 3
$19.99US,"2011-08-30August 30, 2011",,"2011-08-30August 30, 2011",Midway Games Ubisoft,6.42 GB,Wheelman
$19.99US,"2010-12-14December 14, 2010",,"2010-12-14December 14, 2010",Warner Bros I.E,6.73 GB,Where the Wild Things Are
?14.99UK,"2011-11-22November 22, 2011",,,dtp entertainment,2.27 GB,Winter Sports 2011
$49.99US,,,"2011-12-27December 27, 2011",Activision,848.37 MB,Wipeout: In the Zone
$19.99US,"2011-08-09August 9, 2011",,"2011-08-09August 9, 2011",THQ,2.05 GB,World of Outlaws: Sprint Cars
?14.99UK,"2011-09-06September 6, 2011",,,Black Bean Games,2.54 GB,WRC 2010
$49.99US,"2011-10-11October 11, 2011",,"2011-10-11October 11, 2011",THQ,5.91 GB,WWE All Stars
$39.99US,"2011-05-17May 17, 2011",,"2011-05-17May 17, 2011",THQ,6.5 GB,WWE Legends of WrestleMania
$29.99US,,,"2010-07-27July 27, 2010",THQ,6.53 GB,WWE SmackDown vs. Raw 2009
,"2011-08-23August 23, 2011",,,THQ,5.3 GB,WWE SmackDown vs. Raw 2011
$29.99US,,,"2011-08-09August 9, 2011",THQ,2.02 GB,You Don't Know Jack
$39.99US,"2011-05-24May 24, 2011",,"2011-05-24May 24, 2011",Ubisoft,2.72 GB,Your Shape: Fitness Evolved
