Common Names (abridged),Family,Habit,Scientific Name
"English: tree manuka, tree manuba, kanuka (New Zealand), burgan, white teatree",Myrtaceae,tree,Kunzea ericoides
,Cyperaceae,sedge,Kyllinga melanosperma
"English: Navua sedge; Other: tuise tele, tuise fiti (Samoa)",Cyperaceae,sedge,Kyllinga polyphylla
"English: creeping lantana, purple lantana, small lantana, trailing lantana weeping lantana",Verbenaceae,herb,Lantana montevidensis
English: cutgrass,Poaceae,grass,Leersia hexandra
"English: lion?s tail, lion?s ear, Christmas candlestick",Lamiaceae,herb,Leonotis nepetifolia
English: peppergrass,Brassicaceae,herb,Lepidium ruderale
English: garden cress,Brassicaceae,herb,Lepidium sativum
,Myrtaceae,shrub,Leptospermum polygalifolium
English: New Zealand tea; manuka (New Zealand),Myrtaceae,tree,Leptospermum scoparium
,Lamiaceae,herb,Leucas lavandulifolia
English: ruffled fan palm,Arecaceae,tree (palm),Licuala grandis
English: privet,Oleaceae,shrubs/ trees,Ligustrum spp.
"English: elephant-apple, Indian wood-apple, wood-apple",Rutaceae,tree,Limonia acidissima
,Scrophulariaceae,herb,Lindernia antipoda
"Other: moomai pere, haehaa, mataura (French Polynesia)",Scrophulariaceae,herb,Lindernia crustacea
,Scrophulariaceae,herb,Lindernia nummulariifolia
English: Indian laurel,Lauraceae,tree,Litsea glutinosa
English: white root,Campanulaceae,herb,Lobelia zeylanica
English: Italian ryegrass,Poaceae,grass,Lolium multiflorum
"English: brush box, Brisbane box, vinegar tree",Myrtaceae,tree,Lophostemon confertus
,Onagraceae,herb,Ludwigia hyssopifolia
English: longleaf primrose-willow,Onagraceae,herb,Ludwigia longifolia
"English: willow primrose, false primrose, yellow willow herb; Other: ti?mu (Cook Islands); p?t?rea (Cook Islands (Ngaputoru and Mangaia), French Polynesia (leeward Society Islands); k?mole, alohalua, k?mole lau li?i, k?mole lau nui (Hawai?i); laavai, mautofu vao, fua samasama (Samoa)",Onagraceae,herb,Ludwigia octovalvis
"English: ludwigia, Peruvian primrose, water primrose",Onagraceae,herb,Ludwigia peruviana
English: currant tomato,Solanaceae,herb,Lycopersicon pimpinellifolium
"English: Hartford fern, American climbing fern, creeping fern, Windsor fern",Schizaeaceae,fern,Lygodium palmatum
"English: umbrella tree, musizi",Rhamnaceae,tree,Maesopsis eminii
English: malachra,Malvaceae,herb,Malachra alceifolia
"English: cheeseweed, Egyptian mallow, little mallow, small-flower mallow",Malvaceae,herb,Malva parviflora
English: Indian Valley false mallow,Malvaceae,herb,Malvastrum americanum
"English: common horehound, horehound, white horehound",Lamiaceae,herb,Marrubium vulgare
"English: devil's claw, iceplant, small-fruit devil's claw, tiger's-claw",Martyniaceae,herb,Martynia annua
"English: black medic, hop-clover, nonesuch, yellow trefoil",Fabaceae,herb,Medicago lupulina
"English: burr medic, California bur-clover, hairy medic, toothed bur-clover, toothed medic",Fabaceae,herb,Medicago polymorpha
English: medinilla,Melastomataceae,shrub,Medinilla cummingii
"English: chandelier tree, showy melastome, showy medinilla, Malaysian orchid",Melastomataceae,shrub,Medinilla magnifica
English: holdtight,Melastomataceae,shrub,Medinilla venosa
"English: melaleuca, cajeput, paper bark tree, punk tree",Myrtaceae,tree,Melaleuca quinquenervia
"English: Asian melastome, Indian rhododendron, Malabar melastome",Melastomataceae,tree,Melastoma candidum
"English: fox-tongued melastoma, red melastome",Melastomataceae,shrub/tree,Melastoma sanguineum
English: Spanish lime,Sapindaceae,tree,Melicoccus bijugatus
"English: Natal redtop, Natal grass, red Natal grass, Holme's grass, blanketgrass; Other: salapona (Tonga)",Poaceae,grass,Melinis repens
,Sterculiaceae,herb,Melochia corchorifolia
,Sterculiaceae,shrub,Melochia umbellata
,Melastomataceae,shrub,Memecylon floribundum
Other: ambui (Solomon Islands),Convolvulaceae,vine,Merremia bracteata
,Convolvulaceae,vine,Merremia hirta
,Convolvulaceae,vine,Merremia pacifica
English: yellow wood rose,Convolvulaceae,vine,Merremia umbellata
"English: miconia, velvetleaf, purple plague, bush currant",Melastomataceae,tree,Miconia calvescens
"English: meadow ricegrass, weeping grass",Poaceae,grass,Microlaena stipoides
"English: climbing hempweed, climbing hempvine",Asteraceae,vine,Mikania scandens
"English: catclaw mimosa, thorny sensitiveplant, giant mimosa, giant sensitive plant, black mimosa, zaraz, dormilona, bashful plant, amourette violet",Fabaceae,shrub,Mimosa pigra
English: tropical girdlepod,Rubiaceae,herb,Mitracarpus hirtus
"English: montanoa, tree daisy, Anzac flower",Asteraceae,shrub,Montanoa hibiscifolia
"English: bayberry, candleberry, southern bayberry, southern wax-myrtle, wax-myrtle, waxberry",Myricaceae,tree,Morella cerifera
"English: fayatree, firetree, firebush",Myricaceae,tree,Morella faya
"English: cow itch, velvet bean, Bengal bean, Mauritius bean",Fabaceae,vine,Mucuna pruriens
"English: jam tree, strawberry tree, Jamaican cherry, Singapore cherry, Panama cherry, Panama berry, ornamental cherry, calabura, sirsen; Other: venevene (Cook Islands (Penrhyn)); capulin (French Polynesia)",Tiliaceae,tree,Muntingia calabura
"English: Burma reed, cane grass, silk reed",Poaceae,grass,Neyraudia reynaudiana
English: Madagascar olive,Oleaceae,tree,Noronhia emarginata
"English: Micky Mouse plant, bird?s-eye bush",Ochnaceae,shrub,Ochna kirkii
"English: ochna, Mickey-Mouse plant, bird?s-eye bush",Ochnaceae,shrub,Ochna serrulata
"English: balsa, corkwood, down tree",Bombacaceae,tree,Ochroma pyramidale
"English: wild basil, clove basil, tree basil; Other: miri t?t?, miri t?tae puaka, miri nganga?ere, miri t?p?paku (Cook Islands); miri papa??, miri taratoni (Cook Islands, French Polynesia); la?au sauga (Samoa)",Lamiaceae,herb,Ocimum gratissimum
,Rubiaceae,herb,Oldenlandia pumila
"English: olive; Other: ?oliwa, ?oliwa haole (Hawai'i)",Oleaceae,tree,Olea europaea
,Poaceae,grass,Olyra latifolia
,Poaceae,grass,Oplismenus burmannii
"English: dildo, Eltham indian fig, sweet prickly-pear",Cactaceae,cactus,Opuntia dillenii
"English: Barbary-fig, Indian-fig, mission cactus, prickly-pear; Other: p?nini, p?pipi (Hawai?i)",Cactaceae,cactus,Opuntia ficus-indica
"English: drooping tree pear, prickly pear; Other: lauaufai va (Samoa)",Cactaceae,cactus,Opuntia monacantha
"English: erect prickly-pear, southern spineless cactus",Cactaceae,cactus,Opuntia stricta
,Melastomataceae,shrub,Ossaea marginata
"Other: a'aa'a'ii, vine (Samoa)",Oxalidaceae,herb,Oxalis barrelieri
"English: pink wood-sorrel, lilac oxalis; Other: ?ihi pehu (Hawai?i), ?ii (Samoa)",Oxalidaceae,herb,Oxalis debilis
"English: oxyspora, bristletips",Melastomataceae,shrub,Oxyspora paniculata
"English: stink vine, skunk vine; Other: maile pilau, maile ka kahiki (Hawai'i).",Rubiaceae,vine,Paederia foetida
"English: Australian millet, umbrella grass",Poaceae,grass,Panicum decompositum
,Poaceae,grass,Panicum polygonatum
"English: torpedo grass, couch panicum, creeping panic; Other: wainaku grass (Hawai'i)",Poaceae,grass,Panicum repens
"English: brush wattle, plume albizia, plume acacia, stink bean",Fabaceae,shrub/tree,Paraserianthes lophantha
"English: parkinsonia, Jerusalem thorn, horse-bean, retama",Fabaceae,tree,Parkinsonia aculeata
"English: bitterweed, carrot grass, false ragweed, feverfew, parthenium weed, whitetop, Santa Maria",Asteraceae,herb,Parthenium hysterophorus
"English: fimbriate paspalum, winged paspalum, Panama paspalum, Panama crowngrass, Columbia grass",Poaceae,grass,Paspalum fimbriatum
English: Bahia grass,Poaceae,grass,Paspalum notatum
,Poaceae,grass,Paspalum setaceum
English: Vasey grass; Other: tinikar?ti (Cook Islands (Mangaia)),Poaceae,grass,Paspalum urvillei
"English: wild passion fruit, wingstem passionflower",Passifloraceae,vine,Passiflora alata
English: blue passion flower,Passifloraceae,vine,Passiflora caerulea
"English: scarlet passion flower, red passion flower, red granadilla",Passifloraceae,vine,Passiflora coccinea
"English: purple passion-flower, red-flowered poka, apricot-vine, maypop, maypop passionflower",Passifloraceae,vine,Passiflora incarnata
"English: sweet granadilla, yellow passionfruit; Other: lemi wai, lani wai, lemona (Hawai?i)",Passifloraceae,vine,Passiflora ligularis
"English: two-lobed passion flower, wingleaf passionfruit",Passifloraceae,vine,Passiflora pulchella
"English: red passionfruit, Dutchman's laudanum; Other: p?kutekute (Cook Islands (?Atiu))",Passifloraceae,vine,Passiflora rubra
"English: wild passionfruit, devil's pumpkin, indigo berry, corky passionflower, corkstem passionflower; Other: huehue haole (Hawai'i)",Passifloraceae,vine,Passiflora suberosa
English: white passionflower,Passifloraceae,vine,Passiflora subpeltata
"English: banana poka, banana passionfruit, bananadilla",Passifloraceae,vine,Passiflora tarminiana
"English: paulownia, princess-tree, Chinese empress tree, karri-tree",Scrophulariaceae,tree,Paulownia tomentosa
"English: kikuyu grass, kikuyo",Poaceae,grass,Pennisetum clandestinum
"English: bajra, bulrush millet, burr bristle grass, cat?s tail grass, cattail millet, mongoose tail grass (Fiji), pearl millet, yellow bristle grass, yellow foxtail",Poaceae,grass,Pennisetum glaucum
"English: African feathergrass, bedding grass",Poaceae,grass,Pennisetum macrourum
"English: mission grass, feathery pennisetum",Poaceae,grass,Pennisetum polystachion
English: fountain grass,Poaceae,grass,Pennisetum setaceum
"English: Barbados gooseberry, leafy cactus, lemon vine, pereskia creeper",Cactaceae,shrub,Pereskia aculeata
,Polygalaceae,herb,Persicaria capitata
Other: k?mole (Hawai?i),Polygonaceae,herb,Persicaria glabra
"English: lima bean, butter bean, Burma bean, haricot bean, Madagascar bean, sieva bean, sugar bean; Other: piini ?ae puaka (Tonga)",Fabaceae,herb,Phaseolus lunatus
"English: philadelphus, evergreen mock orange, syringa",Saxifragaceae,shrub,Philadelphus karwinskyanus
"English: New Zealand flax, New Zealand hemp, bush flax",Agavaceae,herb,Phormium tenax
"English: fogfruit, lippia, phyla",Verbenaceae,herb,Phyla nodiflora
,Euphorbiaceae,herb,Phyllanthus debilis
"English: long-stalk phyllanthus, Mascarene Island leaf-flower",Euphorbiaceae,herb,Phyllanthus tenellus
,Euphorbiaceae,herb,Phyllanthus urinaria
,Poaceae,shrub,Phyllostachys bissetii
English: black bamboo,Poaceae,shrub,Phyllostachys nigra
"Engish: pokeweed, Southern pokeberry, ink weed (Australia)",Phytolaccaceae,shrub,Phytolacca octandra
"English: pimento, allspice; Other: sipaisi (Tonga)",Myrtaceae,tree,Pimenta dioica
"English: bay rum tree, bay oil tree, malagueta; Other: sinamoni (Tonga)",Myrtaceae,tree,Pimenta racemosa
English: slash pine,Pinaceae,tree,Pinus elliottii
English: spiked pepper,Piperaceae,shrub/tree,Piper aduncum
"English: eared pepper, anise piper, Veracruz pepper; Other: ?ava Tonga (Samoa), kava Hawai?i (Tonga)",Piperaceae,shrub,Piper auritum
,Turneraceae,herb,Piriqueta racemosa
"English: Madras thorn, Manila tamarind, sweet inga; Other: 'opiuma (Hawai'i)",Fabaceae,tree,Pithecellobium dulce
"English: pittosporum, Taiwanese cheesewood, mamalis",Pittosporaceae,shrub/tree,Pittosporum pentandrum
"English: tobira, Japanese pittosporum, Japanese cheesewood, mock orange, Australian laurel",Pittosporaceae,shrub/tree,Pittosporum tobira
"English: Victorian box, Victorian laurel, Australian cheesewood, mock orange, sweet pittosporum, orange pittosporum",Pittosporaceae,tree,Pittosporum undulatum
English: cape pittosporum,Pittosporaceae,tree,Pittosporum viridiflorum
,Plantaginaceae,herb,Plantago debilis
"English: elkhorn fern, staghorn fern",Selaginellaceae,fern,Platycerium bifurcatum
English: sour bush,Asteraceae,shrub,Pluchea carolinensis
"English: Indian fleabane, Indian pluchea, Indian camphorweed",Asteraceae,shrub,Pluchea indica
,Polygonaceae,herb,Polygonum dichotomum
English: smartweed,Polygonaceae,herb,Polygonum minus
English: praxelis,Asteraceae,herb,Praxelis clematidea
"English: mesquite, algaroba",Fabaceae,tree,Prosopis spp.
"English: strawberry guava, cherry guava, Cattley guava, Chinese guava; Other: t?ava papa?? (Cook Islands); tuava tinito, tuvava tinito (French Polynesia); waiawi ?ula?ula (Hawai'i); ku?ava (Samoa)",Myrtaceae,tree,Psidium cattleianum
"English: Brazilian guava, Guinea guava",Myrtaceae,shrub/tree,Psidium guineense
"English: cluster palm, hurricane palm, Macarthur feather palm, Macarthur palm",Arecaceae,tree (palm),Ptychosperma macarthurii
"English: flame vine, flame flower, golden shower, orange trumpet vine",Bignoniaceae,vine,Pyrostegia venusta
"English: rose myrtle, downy myrtle, Isenberg bush",Myrtaceae,shrub,Rhodomyrtus tomentosa
,Cyperaceae,herb,Rhynchospora caduca
"English: baby pepper, bloodberry, coral berry, rouge plant; Other: polo (Tonga)",Phytolaccaceae,herb,Rivina humilis
English: Cherokee rose,Rosaceae,shrub,Rosa laevigata
"English: guinea-fowl grass, itchgrass, Kelly grass, kokoma grass, Raoul grass",Poaceae,grass,Rottboellia cochinchinensis
,Rosaceae,shrub,Rubus adenotrichos
English: giant bramble,Rosaceae,shrub,Rubus alceifolius
English: prickly Florida blackberry; Other: ?helo ?ele ?ele (Hawai?i),Rosaceae,shrub,Rubus argutus
"English: Andean blackberry, Andean black raspberry",Rosaceae,shrub,Rubus glaucus
,Rosaceae,shrub,Rubus megalococcus
"English: Molucca raspberry, broad leafed bramble, Molucca bramble, eelkek",Rosaceae,shrub,Rubus moluccanus
"English: Ceylon raspberry, hill raspberry, Mysore raspberry",Rosaceae,shrub,Rubus niveus
"English: roseleaf raspberry, thimbleberry, Mauritius raspberry; Other: ?la?a, ?kala, ?kalakala (Hawai?i)",Rosaceae,shrub,Rubus rosifolius
English: Molucca raspberry,Rosaceae,shrub,Rubus sieboldii
"English: raspberries, blackberries, brambles",Rosaceae,shrub,Rubus spp.
English: elm-leaf blackberry,Rosaceae,shrub,Rubus ulmifolius
,Acanthaceae,herb,Ruellia brevifolia
English: large bell-flower (Samoa); Other: vaouliuli lautele (Samoa),Acanthaceae,herb,Ruellia tuberosa
"English: brown dock, hooked dock, slender dock, swamp dock",Polygonaceae,herb,Rumex brownii
"English: curled dock, curly dock, sour dock, yellow dock",Polygonaceae,herb,Rumex crispus
English: fiddle dock,Polygonaceae,herb,Rumex pulcher
"English: wild cane, false sugarcane; Other: to aheo (French Polynesia); vao tolo (Samoa)",Poaceae,grass,Saccharum spontaneum
English: glenwood grass,Poaceae,grass,Sacciolepis indica
,Poaceae,grass,Sacciolepis interrupta
English: sanchezia.,Acanthaceae,shrub,Sanchezia speciosa
"English: octopus tree, umbrella tree, ivy palm",Araliaceae,tree,Schefflera actinophylla
"English: dwarf brassia, dwarf schefflera, Hawaiian elf schefflera",Araliaceae,shrub,Schefflera arboricola
"English: pepper tree, California pepper tree, Peruvian peppertree, pepperina",Anacardiaceae,tree,Schinus molle
"English: Christmas-berry, Brazilian pepper, Brazilian holly; Other: wilelaiki (Hawai?i), naniohilo (Hawai?i (Moloka?i))",Anacardiaceae,tree,Schinus terebinthifolius
"English: little bluestem, bush beardgrass",Poaceae,grass,Schizachyrium condensatum
"English: scoparia, sweet broom",Scrophulariaceae,herb,Scoparia dulcis
English: fireweed,Asteraceae,herb,Senecio madagascariensis
English: cotton fireweed,Asteraceae,herb,Senecio quadridentatus
"English: Christmasbush, moneybush, rambling cassia",Fabaceae,shrub,Senna bicapsularis
English: stinking cassia (Fiji),Fabaceae,shrub,Senna hirsuta
,Fabaceae,shrub,Senna multiglandulosa
"English: habucha, coffeeweed, sicklepod",Fabaceae,herb,Senna obtusifolia
"English: buttercup bush, yellow shower, laburnum; Other: kolomona, kalamona (Hawai'i)",Fabaceae,shrub/tree,Senna septemtrionalis
Other: matui (Tonga),Fabaceae,herb,Senna sophera
"English: canicha, dhaincha, dhunchi, sesbania pea",Fabaceae,shrub,Sesbania cannabina
"English: sesbania, hummingbird tree, sesban, scarlet wisteria tree, corkwood tree; Other: oufai, ofai, ouai (French Polynesia); ohai ke?oke?o (Hawai?i); sepania (Samoa)",Fabaceae,small tree,Sesbania grandiflora
"English: red sesbania, coffee weed, rattle-pod, sesban, red seine bean, Brazil rattlebox, coffee of the coast, tame acacia, false poinciana, black acacia, purple sesbane",Fabaceae,shrub,Sesbania punicea
English: bristly foxtail grass,Poaceae,grass,Setaria barbata
"English: foxtail millet, German millet, Hungarian millet, Italian millet",Poaceae,grass,Setaria italica
"English: palmgrass, short pitpit, hailans pitpit, broadleaved bristlegrass; Other: vao ?ofe?ofe (Samoa)",Poaceae,grass,Setaria palmifolia
"English: knotroot bristle grass, knotroot foxtail, perennial foxtail, slender pigeon grass, yellow foxtail; Other: mau?u Kaleponi (Hawai?i)",Poaceae,grass,Setaria parviflora
"English: foxtail, garden bristle grass, hairy-tail grass, yellow bristlegrass, Queensland pigeon grass (Australia), cat's tail grass (Fiji)",Poaceae,grass,Setaria pumila
"English: flannelweed, heart-leaf sida",Malvaceae,shrub,Sida cordifolia
Other: mautofu (Samoa),Malvaceae,shrub,Sida glomerata
,Malvaceae,herb,Sida linifolia
,Malvaceae,shrub,Sida paniculata
"English: prickly sida, spiny sida",Malvaceae,herb,Sida spinosa
,Malvaceae,shrub,Sida urens
,Malvaceae,shrub,Sidastrum paniculatum
"English: Indian weed, small yellow crown-beard, yellow crown-head; Other: kamika (Cook Islands (Mangaia)), ?a?ami?a (Samoa), kakamika (Tonga, Wallis and Futuna)",Asteraceae,herb,Sigesbeckia orientalis
English: smooth mustard,Brassicaceae,herb,Sisymbrium erysimoides
English: scourweed,Iridaceae,herb,Sisyrinchium micranthum
"English: golden cup, cup of gold, chalice vine",Solanaceae,vine,Solandra maxima
"English: cockroach berry, devil?s apple, soda apple; Other: poro?iti taratara (Cook Islands); kikania kei, akaaka, akaka (Hawai'i)",Solanaceae,herb,Solanum capsicoides
English: nipple fruit,Solanaceae,shrub,Solanum mammosum
"English: bugweed, wild tobacco, tree tobacco; Other: rau ?ava?ava (Cook Islands); pua nana honua (Hawai'i); pula (Tonga)",Solanaceae,shrub,Solanum mauritianum
"English: black-berry night shade (Australia), black nightshade, poisonberry; Other: polokai (Tonga); magalo, polo (Samoa)",Solanaceae,herb,Solanum nigrum
"English: potato creeper, Brazilian nightshade",Solanaceae,vine,Solanum seaforthianum
English: tropical soda apple,Solanaceae,herb,Solanum viarum
English: dwarf jojo,Asteraceae,herb,Soliva anthemifolia
"English: corn sow thistle, field sow thistle, perennial sow thistle",Asteraceae,herb,Sonchus arvensis
"English: Johnson grass, Aleppo grass, Aleppo milletgrass; Other: kola (Tonga)",Poaceae,grass,Sorghum halepense
English: river false buttonweed,Rubiaceae,herb,Spermacoce confusa
,Rubiaceae,herb,Spermacoce ernstii
,Rubiaceae,herb,Spermacoce latifolia
,Rubiaceae,herb,Spermacoce mauritiana
English: purple-leaved button weed,Rubiaceae,herb,Spermacoce ocymoides
"English: false buttonweed, prostrate false buttonweed",Rubiaceae,herb,Spermacoce prostrata
,Sphenocleaceae.,herb,Sphenoclea zeylanica
"English: wiregrass, rat-tail dropseed",Poaceae,grass,Sporobolus elongatus
,Poaceae,grass,Sporobolus pyramidalis
English: staggerweed,Lamiaceae,herb,Stachys arvensis
"English: carrion flower, starfish flower, zulu-giant, giant toad plant",Asclepiadaceae,succulent,Stapelia gigantea
"English: chickweed, common chickweed, stickwort",Caryophyllaceae,herb,Stellaria media
"English: buffalo grass, St. Augustine grass; Other: ?aki?aki haole, m?nienie ?aki?aki, m?nienie ?aki?aki haole, m?nienie m?hikihiki (Hawai?i)",Poaceae,grass,Stenotaphrum secundatum
"English: stictocardia, crimson morning-glory; Other: pilikai (Hawai?i); tagamimi, palulu (Samoa)",Convolvulaceae,vine,Stictocardia tiliifolia
,Asteraceae,herb,Struchium sparganophorum
"English: turpentine tree, lustre wood",Myrtaceae,tree,Syncarpia glomulifera
"English: pink tecoma, pink trumpet tree, white cedar",Bignoniaceae,tree,Tabebuia heterophylla
"English: Athel tamarisk, athel pine, salt-cedar",Tamaricaceae,shrub,Tamarix aphylla
English: saltcedar,Tamaricaceae,tree,Tamarix gallica
,Fabaceae,herb,Tephrosia noctiflora
"English: hollock, jhalna",Combretaceae,tree,Terminalia myriocarpa
English: Florida clover ash,Melastomataceae,shrub/tree,Tetrazygia bicolor
,Lamiaceae,herb,Teucrium vesicarium
English: ulla,Poaceae,grass,Themeda gigantea
"English: grader grass, habana grass, kangaroo grass",Poaceae,grass,Themeda quadrivalvis
English: black-eyed susan vine,Acanthaceae,vine,Thunbergia alata
"English: Bengal trumpet, blue trumpet vine, clock vine, skyvine, large-flowerd thunbergia; Other: palulu (Samoa)",Acanthaceae,vine,Thunbergia grandiflora
"English: purple allamanda, laurel-leaved thunbergia, laurel clock vine",Acanthaceae,vine,Thunbergia laurifolia
"English: glorybush, cane ti, tibouchina",Melastomataceae,shrub,Tibouchina herbacea
"English: glorybush, lasiandra, princess flower",Melastomataceae,shrub,Tibouchina urvilleana
English: liberal (Palau),Rubiaceae,tree,Timonius timon
"English: small-leaf spiderwort, spiderwort, wandering jew",Commelinaceae,herb,Tradescantia fluminensis
"English: capulin, nettle tree",Ulmaceae,tree,Trema micranthum
"English: charcoal tree, gunpowder tree; Other: aere (French Polynesia), mangele, magele (Samoa, Tonga)",Ulmaceae,tree,Trema orientalis
"English: Chinese tallow tree, popcorn tree, vegetable tallow, white wax berry, chicken tree, Florida aspen",Euphorbiaceae,tree,Triadica sebifera
"English: puncture vine, caltrop, burrnut, Jamaican feverplant, goat?s head; Other: nohu, nohunohu (Hawai?i)",Zygophyllaceae,herb,Tribulus cistoides
"English: puncture vine, goat head",Zygophyllaceae,herb,Tribulus terrestris
English: camel bush,Boraginaceae,herb,Trichodesma zeylanicum
"English: coat buttons, tridax daisy",Asteraceae,herb,Tridax procumbens
"English: limeberry, lemon China",Rutaceae,shrub,Triphasia trifolia
"English: long john, long jack",Polygonaceae,tree,Triplaris weigeltiana
English: wideleaf gamagrass,Poaceae,grass,Tripsacum latifolium
English: Sacramento bur,Tiliaceae,shrub,Triumfetta semitriloba
"English: turbina, Christmas vine, ololiuqui",Convolvulaceae,vine,Turbina corymbosa
English: white alder,Turneraceae,shrub,Turnera subulata
"English: yellow alder, sage rose",Turneraceae,shrub,Turnera ulmifolia
"English: gorse, furze, whin",Fabaceae,shrub,Ulex europaeus
"English: bread grass, palisade grass, palisade signalgrass, signal grass, Surinam grass",Poaceae,grass,Urochloa brizantha
"English: basilisk signal grass, signal grass, Surinam grass",Poaceae,grass,Urochloa decumbens
"English: creeping signal grass, koronivia grass",Poaceae,grass,Urochloa [=Brachiaria] humidicola
"English: creeping panic grass, running grass",Poaceae,grass,Urochloa [=Brachiaria] reptans
"Other: ?w?, o? (Hawai?i); ha?u?w?, ha?u?w? (Hawai?i-Ni?ihau)",Verbenaceae,herb,Verbena litoralis
English: veined verbena,Verbenaceae,herb,Verbena rigida
"English: black-pod vetch, common vetch, narrow-leaf vetch, spring vetch",Fabaceae,herb,Vicia sativa ssp. nigra
"English: green gram, golden gram, mung, mung bean",Fabaceae,herb,Vigna radiata
"English: small-leaved vitex, smallflower chastetree; Other: molave (Hawai'i)",Verbenaceae,shrub/tree,Vitex parviflora
"English: California fan palm, California Washingtonia, cotton palm, desert fan palm, Washington palm",Arecaceae,tree (palm),Washingtonia filifera
"English: Mexican fan palm, Mexican Washington palm, Mexican washingtonia, thread palm",Arecaceae,tree (palm),Washingtonia robusta
"English: weeping lilly pilly, weeping myrtle",Myrtaceae,tree,Waterhousea floribunda
English: tiebush,Thymelacaceae,shrub,Wikstroemia indica
"English: Australian burr (Cook Islands), California-bur, cocklebur, noogoora burr; Other: kikania (Hawai?i)",Asteraceae,herb,Xanthium strumarium
"English: daggerplant, Spanish-bayonet",Agavaceae,shrub,Yucca aloifolia
"English: calla lily, arum lily",Araceae,herb,Zantedeschia aethiopica
,Asteraceae,herb,Zinnia peruviana
"English: Chinese jujube, Chinese date, Chinese plum, common jujube",Rhamnaceae,tree,Ziziphus jujuba
"English: Indian jujube, Chinese date, Chinee apple",Rhamnaceae,tree,Ziziphus mauritiana
