Developer [14][16],ESRB/ ELSPA rating [10][17][21],Genre [10][11][15][18][22][23],Number of players [10][12][13][20],Publisher [10][11][14][17][18],Regions released [10][11][12][13][19],Title(s) [10][11][12][13],Year first released [10][11][14][15]
Point of View,E/?,Sports/American Football,4 !1?4,Midway,NA,NFL Blitz Special Edition,2001
Iguana Entertainment,K-A/3+,Sports/American Football,4 !1?4,Acclaim,"NA, PAL",NFL Quarterback Club '98,1997
Iguana Entertainment,E/3+,Sports/American Football,4 !1?4,Acclaim,"NA, PAL",NFL Quarterback Club '99,1998
Iguana Entertainment,E/3+,Sports/American Football,4 !1?4,Acclaim,"NA, PAL",NFL Quarterback Club 2000,1999
High Voltage Software,E/?,Sports/American Football,4 !1?4,Acclaim,NA,NFL Quarterback Club 2001,2000
MBL Research,E/3+,Sports/Ice Hockey,4 !1?4,Electronic Arts,"NA, PAL",NHL 99,1998
Konami,E/3+,Sports/Ice Hockey,4 !1?4,Konami,"JP, NA, PAL",NHL Blades of Steel '99 ?NHL Pro '99PAL,1999
Iguana Entertainment,K-A/3+,Sports/Ice Hockey,4 !1?4,Acclaim,"NA, PAL",NHL Breakaway '98,1998
Iguana Entertainment,E/3+,Sports/Ice Hockey,4 !1?4,Acclaim,"NA, PAL",NHL Breakaway '99,1998
Kallisto Technologies,M/?,Action/Adventure,1,Activision,NA,Nightmare Creatures,1998
Culture Brain,?,Arcade/Action/Puzzle,4 !1?4,Culture Brain,JP,Nintama Rantaro 64 Game Gallery,2000
Pacific Coast Power & Light,E/11+,Simulation/Flight/3-D Shooter,1,THQ,"NA, PAL",Nuclear Strike 64,1999
Pack-In-Video,?,Sports/Fishing,1,Pack-In-Video,JP,Nushi Tsuri 64,1998
VIS Interactive,?,Sports/Fishing,1,VIS Interactive,JP,Nushi Tsuri 64: Shiokaze ni Notte,2000
Avalanche Software,E/3+,Racing/Automotive/Off Road,4 !1?4,Midway,"NA, PAL",Off Road Challenge,1998
Quest,T/?,Role Playing/Strategy,1,Atlus,"JP, NA",Ogre Battle 64: Person of Lordly Caliber,1999
Treyarch,K-A/3+,Sports/Ice Hockey,4 !1?4,Midway,"JP, NA, PAL",Olympic Hockey Nagano '98,1998
Bottom Up,?,Battle/Strategy/Training,4 !1?4,Bottom Up,JP,Onegai Monster,1999
SETA,?,Gambling/Pachinko,1,SETA,JP,Pachinko 365 Nichi,1998
Intelligent Systems,E/3+,Role Playing/Adventure,1,Nintendo,"JP, NA, PAL",Paper Mario ?Mario StoryJP,2000
High Voltage Software,E/3+,Arcade/Action,1,Midway,"NA, PAL",Paperboy 64,1999
Nihon Telenet,?,Gambling/Pachinko,1,Nihon Telenet,JP,Parlor! Pro 64: Pachinko Jikki Simulation,1999
Bandai,?,Battle/Strategy/Role Playing,1,Bandai,JP,PD Ultraman Battle Collection 64,1999
Takara,E/3+,Automotive Racing,4 !1?4,THQ,"JP, NA, PAL",Penny Racers ?Choro Q 64JP,1999
Rare,M/18+,Action/Adventure/3D Shooter,4 !1?4,Rare,"JP, NA, PAL",Perfect Dark,2000
Infogrames,E/3+,Sports/Golf,4 !1?4,Infogrames,"NA, PAL",PGA European Tour ?PGA European Tour Golf PAL,2000
Paradigm Entertainment,K-A/3+,Simulation/Flight,1,Nintendo,"JP, NA, PAL",Pilotwings 64,1996
Nintendo,E/3+,Arcade/Action/Puzzle,2 !1?2,Nintendo,"NA, PAL",Pok?mon Puzzle League,2000
HAL Laboratory,E/3+,Shooter/Rail/Photography,1,Nintendo,"JP, NA, PAL",Pok?mon Snap ?Pocket Monsters SnapJP,1999
Nintendo,E/3+,Battle/Strategy/Training,4 !1?4,Nintendo,"JP, NA, PAL","Pok?mon Stadium ?Pocket MonstersJP and, ?Pocket Monsters Stadium 2JP",1999
Nintendo,E/3+,Battle/Strategy/Training,4 !1?4,Nintendo,"JP, NA, PAL",Pok?mon Stadium 2 ?Pocket Monsters Stadium: Kin GinJP,2000
Vicarious Visions,E/?,Simulation/Snowmobile Racing,4 !1?4,Vatical Entertainment,NA,Polaris SnoCross,2000
Hudson Soft,?,Sports/Baseball,4 !1?4,Hudson Soft,JP,Power League 64,1997
Mass Media,E/3+,Action/Adventure/Fighting,4 !1?4,THQ,"NA, PAL",Power Rangers Lightspeed Rescue,2000
VIS Interactive,E/?,Arcade/Fighting,1,BAM! Entertainment,NA,PowerpThe Powerpuff Girls: Chemical X-traction,2001
Gremlin Interactive,?/3+,Sports/Soccer,1,Gremlin Interactive,PAL,Premier Manager 64,1999
Athena,?,Gambling/Mahjong,1,Athena,JP,Pro Mahjong Kiwame 64,1997
Culture Brain,?,Gambling/Mahjong,1,Culture Brain,JP,Pro Shinan Mahjong Tsuwamono 64: Jans? Battle ni Ch?sen,1999
Compile,?,Arcade/Action/Puzzle,4 !1?4,Compile,JP,Puyo Puyo Sun 64,1997
Compile,?,Arcade/Action/Puzzle,4 !1?4,Compile,JP,Puyo Puyo~n Party,1999
Midway,M/15+,Action/3D Shooter,2 !1?2,Midway,"NA, PAL",Quake 64,1998
Raster Productions,M/15+,Action/3D Shooter,4 !1?4,Activision,"NA, PAL",Quake II,1999
Imagineer,E/3+,Adventure/Role Playing,1,Imagineer THQ Konami,"JP, NA, PAL",Quest 64 ?Holy Magic CenturyPAL ?Eltale MonstersJP,1999
Saffire,T/15+,Action/3D Shooter,1,Red Storm Entertainment,"NA, PAL",Rainbow Six,1999
Konami,?/3+,Arcade/2D Fighting,2 !1?2,Konami,"JP, PAL",Rakugakids,1998
Genki,E/?,Racing/Off Road,4 !1?4,Imagineer SouthPeak Interactive,"JP, NA",Rally Challenge 2000 ?Rally '99JP,1999
Avalanche Software,T/3+,Arcade/Action/Side scrolling,3 !1?3,Midway,"NA, PAL",Rampage 2: Universal Tour,1999
Saffire,T/3+,Arcade/Action/Side scrolling,3 !1?3,Midway,"NA, PAL",Rampage World Tour,1998
Pure Entertainment,E/3+,Arcade/Action/Puzzle,4 !1?4,Mindscape,"NA, PAL",Rat Attack!,2000
Ubisoft,E/3+,Adventure/3D Platformer,1,Ubisoft,"NA, PAL",Rayman 2: The Great Escape,1999
Titanium Studios,E/?,Sports/Stunts/Scooter,4 !1?4,Crave Entertainment,NA,Razor Freestyle Scooter,2001
Acclaim,E/3+,Remote Control Racing,4 !1?4,Acclaim,"NA, PAL",Re-Volt,1999
Point of View,T/11+,Sports/Boxing,4 !1?4,Midway,"NA, PAL",Ready 2 Rumble Boxing,1999
Point of View,T/?,Sports/Boxing,4 !1?4,Midway,NA,Ready 2 Rumble Boxing: Round 2,2000
Angel Studios,M/15+,Action/Adventure/3D shooter,1,Capcom,"JP, NA, PAL",Resident Evil 2 ?Biohazard 2JP,1999
Namco,E/3+,Racing/Automotive,4 !1?4,Nintendo,"NA, PAL",Ridge Racer 64,2000
Pacific Coast Power & Light,T/11+,Racing/Battle,2 !1?2,THQ,"NA, PAL",Road Rash 64,1999
Titus Software,E/3+,Automotive Racing,4 !1?4,Titus Software,"NA, PAL",Roadsters,1999
Red Company,?,Strategy/Role Playing,4 !1?4,Hudson Soft,JP,Robot Ponkottsu 64: Nanatsu no Umi no Caramel,1999
Player 1,T/11+,Arcade/Action/ 3D Shooter,1,Crave Entertainment,"NA, PAL",Robotron 64,1998
Sucker Punch,E/3+,Adventure/3D Platformer,1,Ubisoft,"NA, PAL",Rocket: Robot on Wheels,1999
Avalanche Software,E/3+,Adventure/3D Platformer,4 !1?4,THQ,"NA, PAL",Rugrats in Paris: The Movie,2000
Realtime Associates,E/3+,Board Game,4 !1?4,THQ,"NA, PAL",Rugrats: Scavenger Hunt ?Rugrats: Treasure HuntPAL,1999
Atari Games,E/3+,Racing/Automotive,2 !1?2,Midway,"NA, PAL",Rush 2: Extreme Racing USA,1998
Vivid Image,E/3+,Racing/Battle,4 !1?4,Ubisoft,"NA, PAL",S.C.A.R.S.,1999
SETA,?,Board Game/Strategy,1,SETA,JP,Saiky? Habu Sh?gi,1996
Atari Games,K-A/3+,Racing/Automotive,2 !1?2,Midway,"NA, PAL",San Francisco Rush,1997
Atari Games,E/3+,Automotive Racing,4 !1?4,Midway,"NA, PAL",San Francisco Rush 2049,2000
Terra Glyph Interactive Studios,E/3+,Adventure,1,THQ,"NA, PAL",Scooby Doo! Classic Creep Capers,2000
Culture Brain,?,Arcade/Fighting,4 !1?4,Culture Brain,JP,SD Hiryu no Ken Densetsu,1999
Acclaim,M/15+,Action/Adventure/3D Shooter,1,Acclaim,"NA, PAL",Shadow Man,1999
Infinite Ventures,E/3+,Role Playing/Puzzle,1,Kemco,"JP, NA, PAL",Shadowgate 64: Trials of the Four Towers,1999
Genki,?,Simulation/City/Horse Racing,1,Imagineer,JP,SimCity 2000,1998
Treasure,?,Action/3D Rail Shooter,4 !1?4,Nintendo,JP,Sin and Punishment: Hoshi no Keish?sha,2000
Racdym,K-A/3+,Sports/Snowboarding,4 !1?4,Atlus,"JP, NA, PAL",Snowboard Kids,1997
Racdym,E/?,Sports/Snowboarding,4 !1?4,Atlus,"JP, NA, PAL",Snowboard Kids 2 ?Ch? Snowboard KidsJP,1999
Iguana Entertainment,M/15+,Adventure/3D Shooter,4 !1?4,Acclaim,"NA, PAL",South Park,1998
Tantalus Interactive,M/15+,Racing/Battle,4 !1?4,Acclaim,"NA, PAL",South Park Rally,2000
Iguana Entertainment,M/15+,Game Show,4 !1?4,Acclaim,"NA, PAL",South Park: Chef's Luv Shack,1999
Z-Axis,E/?,Arcade/Action/2D Shooter,1,Activision,NA,Space Invaders,1999
DMA Design,E/3+,Adventure/Puzzle/3D Platformer,1,Take-Two Interactive,"NA, PAL",Space Station Silicon Valley,1998
Edge of Reality,E/?,Adventure/Action/3D Platformer,1,Activision,NA,Spider-Man,2000
Nintendo,K-A/3+,Action/Flight/3D Rail Shooter,4 !1?4,Nintendo,"JP, NA, PAL",Star Fox 64 ?Lylat Wars PAL,1997
Hudson Soft,E/?,Action/2D Shooter,1,Hudson Soft,"JP, NA",Star Soldier: Vanishing Earth,1998
Factor 5,T/11+,Action/3D Shooter,1,LucasArts,"NA, PAL",Star Wars: Episode I: Battle for Naboo,2000
LucasArts,E/3+,Racing/Hovercraft,2 !1?2,Nintendo,"JP, NA, PAL",Star Wars Episode I: Racer,1999
Factor 5,T/11+,Action/3D Shooting,1,LucasArts,"JP, NA, PAL",Star Wars: Rogue Squadron ?Star Wars: Shutsugeki! Rogue ChutaiJP,1998
LucasArts,T/15+,Action/Adventure/3D Platformer,1,Nintendo,"JP, NA, PAL",Star Wars: Shadows of the Empire,1996
Mass Media,T/?,Simulation/War/Strategy,1,Nintendo,"NA, PAL",StarCraft 64,2000
Infogrames,E/3+,Action/Adventure/3D Platformer,1,Infogrames,"NA, PAL",Starshot: Space Circus Fever,1999
Boss Game Studios,E/?,Racing/Automobile/Stunt,4 !1?4,Midway,NA,Stunt Racer 64,2000
Hudson Soft,?,Fighting/Mini Games,4 !1?4,Hudson Soft,JP,Super B-Daman: Battle Phoenix 64,1998
Athena,E/?,Sports/Bowling,4 !1?4,UFO Interactive,"JP, NA",Super Bowling,2000
Nintendo,K-A/3+,Action/Adventure/3D Platformer,1,Nintendo,"JP, NA, PAL",Super Mario 64,1996
Banpresto,?,Arcade/Fighting/Robots,1,Banpresto,JP,Super Robot Spirits,1998
Banpresto,?,Strategy/War/Role Playing,1,Banpresto,JP,Super Robot Wars 64,1999
HAL Laboratory,E/3+,Arcade/2D Fighting,4 !1?4,Nintendo,"JP, NA, PAL",Super Smash Bros. ?Dairant? Smash BrothersJP,1999
MBL Research,E/3+,Racing/Motorcycle,4 !1?4,Electronic Arts,"NA, PAL",Supercross 2000,1999
Titus Software,E/3+,Action/Adventure/3D Platformer,4 !1?4,Titus Software,"NA, PAL",Superman,1999
Konami,?,Arcade/Action/Puzzle,4 !1?4,Konami,JP,Susume! Taisen Puzzle Dama: T?kon! Marutama Ch?,1998
Bandai,?,Board Game/Growing/Training,4 !1?4,Bandai,JP,Tamagotchi 64: Minna de Tamagotchi World,1997
Zed Two,?/3+,Adventure/Puzzle/3D Platformer,1,Infogrames,PAL,Taz Express,2000
Amtex,?,Arcade/Action/Puzzle,4 !1?4,SETA,JP,Tetris 64,1998
H2O Entertainment,K-A/3+,Arcade/Action/Puzzle,4 !1?4,Nintendo,"NA, PAL",Tetrisphere,1997
Doki Denki Studio,E/3+,Adventure/2D Platformer,4 !1?4,NewKidCo,"NA, PAL",Tigger's Honey Hunt,2000
VIS Interactive,E/3+,Arcade/3D Fighting,4 !1?4,NewKidCo,"NA, PAL",Tom & Jerry in Fists of Furry,2000
Ubisoft,E/3+,Action/Adventure/3D Platformer,1,Ubisoft,"NA, PAL",Tonic Trouble,1999
Edge of Reality,E/11+,Sports/Skateboarding,2 !1?2,Activision,"NA, PAL",Tony Hawk's Pro Skater ?Tony Hawk's SkateboardingPAL,2000
Edge of Reality,E/11+,Sports/Skateboarding,4 !1?4,Activision,"NA, PAL",Tony Hawk's Pro Skater 2,2001
Edge of Reality,E/?,Sports/Skateboarding,2 !1?2,Activision,NA,Tony Hawk's Pro Skater 3,2002
Snowblind Studios,E/3+,Racing/Motorcycle,4 !1?4,Kemco,"JP, NA, PAL",Top Gear Hyper Bike,2000
Snowblind Studios,E/3+,Racing/Automobile,4 !1?4,Kemco,"JP, NA, PAL",Top Gear Overdrive,1998
Boss Game Studios,K-A/3+,Racing/Automobile/Rally,4 !1?4,Midway,"JP, NA, PAL",Top Gear Rally,1997
Saffire,E/3+,Racing/Automobile/Rally,4 !1?4,Kemco,"JP, NA, PAL",Top Gear Rally 2,1999
Traveller's Tales,E/3+,Action/Adventure/3D Platformer,1,Activision,"NA, PAL",Toy Story 2: Buzz Lightyear to the Rescue,1999
Pacific Coast Power & Light,T/?,Arcade/Action/3D Fighting,4 !1?4,BAM! Entertainment Takara,"JP, NA",Transformers: Beast Wars Transmetals ?Transformers: Beast Wars Metals 64JP,2000
Treyarch,E/?,Sports/Baseball,4 !1?4,Electronic Arts,NA,Triple Play 2000,1999
Iguana Entertainment,M/15+,Action/Adventure/3D Shooter,1,Acclaim Entertainment,"JP, NA, PAL",Turok: Dinosaur Hunter ?Turok: Jiku SenshiJP,1997
Iguana Entertainment,M/15+,Action/Adventure/3D Shooter,4 !1?4,Acclaim Entertainment,"JP, NA, PAL",Turok 2: Seeds of Evil ?Violence Killer: Turok New GenerationJP,1998
Iguana Entertainment,M/15+,Action/Adventure/3D Shooter,4 !1?4,Acclaim Entertainment,"NA, PAL",Turok 3: Shadow of Oblivion,2000
Iguana Entertainment,M/15+,Action/Adventure/3D Shooter,4 !1?4,Acclaim Entertainment,"NA, PAL",Turok: Rage Wars,1999
Boss Game Studios,E/3+,Sports/Snowboarding,4 !1?4,Midway,"JP, NA, PAL",Twisted Edge Extreme Snowboarding ?King Hill 64: Extreme SnowboardingJP,1998
Yuke's,?,Game Show/Skill,4 !1?4,Hudson Soft,JP,Ucchan Nanchan no Hon? no Challenge: Denry? Ira Ira B?,1997
Eden Games,E/3+,Racing/Automobile,4 !1?4,Infogrames,"JP, NA, PAL",V-Rally Edition '99,1999
Luxoflux,T/11+,Racing/Destruction Durby,4 !1?4,Activision,"NA, PAL",Vigilante 8,1999
Luxoflux,T/11+,Racing/Destruction Durby,4 !1?4,Activision,"NA, PAL",Vigilante 8: 2nd Offense,2000
Titus Software,E/3+,Board Game/Strategy,2 !1?2,Titus Software,"NA, PAL",Virtual Chess 64,1998
Celeris,E/3+,Sports/Billiards,2 !1?2,Crave Entertainment,"NA, PAL",Virtual Pool 64,1998
AKI,?,Sports/Wrestling,4 !1?4,Asmik Ace,JP,Virtual Pro Wrestling 2: ?d? Keish?,2000
AKI,?,Sports/Wrestling,4 !1?4,Asmik Ace,JP,Virtual Pro Wrestling 64,1997
T&E Soft,E/3+,Sports/Golf,4 !1?4,Nintendo,"JP, NA, PAL",Waialae Country Club: True Golf Classics,1997
Eurocom,M/15+,Arcade/Action/3D Fighting,2 !1?2,Midway,"NA, PAL",War Gods,1997
Nintendo,K-A/3+,Sports/Jet Ski,4 !1?4,Nintendo,"JP, NA, PAL",Wave Race 64,1996
Williams Entertainment,K-A/3+,Sports/Ice Hockey,4 !1?4,Midway,"JP, NA, PAL",Wayne Gretzky's 3D Hockey,1996
Software Creations,K-A/3+,Sports/Ice Hockey,4 !1?4,Midway,"NA, PAL",Wayne Gretzky's 3D Hockey '98,1997
Kodiak Interactive,T/?,Sports/Wrestling,4 !1?4,Electronic Arts,NA,WCW Backstage Assault,2000
Kodiak Interactive,T/11+,Sports/Wrestling,4 !1?4,Electronic Arts,"NA, PAL",WCW Mayhem,1999
Inland Productions,E/?,Sports/Wrestling,4 !1?4,THQ,NA,WCW Nitro,1999
AKI,K-A/11+,Sports/Wrestling,4 !1?4,THQ,"NA, PAL",WCW vs. nWo: World Tour,1997
AKI,E/11+,Sports/Wrestling,4 !1?4,THQ,"NA, PAL",WCW/nWo Revenge,1998
Zed Two,E/3+,Arcade/Action/Puzzle,4 !1?4,Ocean,"JP, NA, PAL",Wetrix,1998
GameTek,K-A/?,Game Show/Knowledge,3 !1?3,GameTek,NA,Wheel of Fortune,1997
Omega Force,T/11+,Action/Adventure/3D Shooter,4 !1?4,Koei,"JP, NA, PAL",WinBack ?Operation: WinbackPAL,1999
Psygnosis,E/3+,Racing/Hovercraft,4 !1?4,Midway,"NA, PAL",Wipeout 64,1998
Givro,?,Strategy/Role Playing/2D Click and Move,1,Enix,JP,Wonder Project J2: Koruro no Mori no Josette,1996
Electronic Arts,E/3+,Sports/Soccer,4 !1?4,Electronic Arts,"NA, PAL",World Cup 98,1998
Boss Game Studios,E/3+,Racing/Automobile,4 !1?4,Midway,"NA, PAL",World Driver Championship,1999
Eurocom,T/11+,Action/Adventure/3D Shooter,4 !1?4,Electronic Arts,"NA, PAL",World IsThe World Is Not Enough,2000
Infogrames,E/11+,Strategy/Puzzle,4 !1?4,Infogrames,"NA, PAL",Worms Armageddon,2000
Iguana Entertainment,T/15+,Sports/Wrestling,4 !1?4,Acclaim,"NA, PAL",WWF Attitude,1999
AKI,T/15+,Sports/Wrestling,4 !1?4,THQ,"NA, PAL",WWF No Mercy,2000
Iguana Entertainment,T/15+,Sports/Wrestling,4 !1?4,Acclaim,"NA, PAL",WWF War Zone,1998
AKI,T/15+,Sports/Wrestling,4 !1?4,THQ,"JP, NA, PAL",WWF WrestleMania 2000,1999
Saffire,T/15+,Arcade/Action/3D Fighting,4 !1?4,Titus Software,"NA, PAL",Xena: Warrior Princess: The Talisman of Fate,1999
Athena,?,Strategy/Role Playing/Mystery,1,Athena,JP,Yak?ch? II: Satsujin K?ro,1999
Nintendo,E/3+,Action/Adventure/2D Platformer,1,Nintendo,"JP, NA, PAL",Yoshi's Story,1997
Pandora Box,?,Battle/Strategy/Training,1,Imagineer,JP,Zool: Maj? Tsukai Densetsu,1999
